Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
Khephren Thuram - French,24,Int,,"DM, M (C)",OGC Nice - Ligue 1 Uber Eats,,,145000000.0,211000000.0,100.0,2.09,79.0,98.0,81.0,1.77,34.0,0.61,23.0,0.5,0.18,7.0,67.0,,,,,2.43,92.0,1.87,71.0,8.0,303.0,8.97,6.28,33.28,1261.0,39.88,1511.0,83.0,1.08,41.0,0.0,0.0,0.9,34.0,0.0,4.0,0.0,0.11,4.0,1.08,41.0,0.13,1.24,47.0,9.26,63.0,1.66,63.0,0.98,0.0,0.0,,,,0.11,1.53,58.0,5.6mi,213.1mi,0.0,0.0,0.9,34.0,,12.0,0.24,9.0,9.0,0.24,0.26,10.0,0.18,2.64,40.0,0.0,2.0,7.55,,0.92,0.9,,35.0,40.0,,0.0,1.25,2.0,,0.0,,,,0.0,0.2,7.55,0.0,,85.25,3410.0,,,,6.95,2.0,9.0,4.0,0.21,,,8.0,10.0,,10.0,20.0,25.0,32.0,71.0,0.2,0.45,0.14,5.48,,7.22,426.25,7.0,- - -,16.0
Nico Williams - Spanish,22,Int,,M/AM (RL),A. Bilbao - Spanish First Division,,,134000000.0,134000000.0,174.0,2.89,87.0,100.0,87.0,2.32,44.0,1.03,31.0,0.5,0.0,0.0,70.0,,,,,3.02,91.0,3.02,91.0,13.13,396.0,6.93,11.21,27.69,835.0,33.23,1002.0,83.0,1.29,39.0,0.33,10.0,2.82,85.0,12.0,12.0,0.0,0.07,2.0,1.29,39.0,0.1,1.79,54.0,17.28,40.0,2.29,69.0,3.48,0.0,1.0,,,,0.16,3.15,95.0,8.2mi,248.7mi,0.33,10.0,2.82,85.0,11.0,19.0,0.8,24.0,15.0,0.5,0.2,6.0,0.27,5.77,34.0,0.0,3.0,11.48,,1.46,0.93,,44.0,34.0,,0.0,1.82,7.0,75.0,3.0,,,,4.0,0.33,9.89,427.0,,79.82,2714.0,,,,,0.0,2.0,2.0,0.43,,,13.0,17.0,,6.0,11.0,50.0,59.0,60.0,0.38,1.52,0.28,8.59,,7.3,208.77,8.0,- - -,16.0
Malick Thiaw - German,23,,,"D (C), DM, M (C)",Casciavit - Italian Serie A,,,106000000.0,150000000.0,169.0,2.22,73.0,85.0,86.0,0.49,31.0,0.15,5.0,0.18,0.55,18.0,16.0,,,,,3.95,130.0,1.49,49.0,4.59,151.0,10.57,3.65,46.46,1529.0,51.87,1707.0,90.0,0.58,19.0,0.09,3.0,0.3,10.0,30.0,0.0,0.0,0.4,13.0,0.58,19.0,0.61,1.52,50.0,6.68,74.0,3.8,125.0,1.34,0.0,0.0,,,,0.1,0.15,5.0,5.8mi,190.3mi,0.09,3.0,0.3,10.0,30.0,19.0,0.79,26.0,7.0,0.21,0.49,16.0,0.09,5.14,43.0,13.0,6.0,1.65,,1.09,0.73,,36.0,30.0,,2.0,1.53,3.0,,0.0,,,,0.0,0.05,1.65,0.0,,68.88,2962.0,,,,,,,,0.09,,,3.0,16.0,,9.0,18.0,37.0,30.0,23.0,0.05,1.35,0.11,3.5,,7.21,987.33,3.0,- - -,13.0
Denis Zakaria - Swiss,28,Int,,"DM, M (C)",AS Monaco - Ligue 1 Uber Eats,,,102000000.0,125000000.0,98.0,2.17,71.0,84.0,85.0,1.1,39.0,0.43,14.0,0.49,0.12,4.0,36.0,,,,,3.18,104.0,1.74,57.0,5.69,186.0,5.97,4.81,39.86,1302.0,45.86,1498.0,87.0,0.58,19.0,0.09,3.0,0.4,13.0,23.0,0.0,0.0,0.06,2.0,0.58,19.0,0.34,0.98,32.0,7.9,65.0,1.96,64.0,1.04,0.0,0.0,,,,0.09,1.07,35.0,4.7mi,152.9mi,0.09,3.0,0.4,13.0,23.0,8.0,0.37,12.0,6.0,0.18,0.21,7.0,0.15,3.0,42.0,12.0,6.0,3.19,,0.83,0.58,,27.0,30.0,,0.0,1.48,1.0,,0.0,,,,0.0,0.1,3.19,0.0,,70.0,2940.0,,,,6.89,0.0,12.0,0.0,0.09,,,3.0,14.0,,8.0,20.0,33.0,53.0,43.0,0.1,-0.19,0.15,4.87,,7.18,980.0,5.0,- - -,13-16
Gastón González - Argentinian,23,Wnt,,"M/AM (L), ST (C)",Orlando City - Major League Soccer,,,6000000.0,6000000.0,15.0,1.0,13.0,18.0,72.0,3.38,59.0,2.0,26.0,0.15,0.0,0.0,44.0,,,,,1.08,14.0,0.85,11.0,3.31,43.0,1.46,2.38,13.54,176.0,22.08,287.0,61.0,0.38,5.0,0.0,0.0,0.38,5.0,13.0,1.0,0.0,0.0,0.0,0.38,5.0,0.08,0.54,7.0,3.0,27.0,0.31,4.0,0.85,0.0,0.0,,,,0.09,0.69,9.0,1.6mi,20.9mi,0.15,2.0,1.15,15.0,,11.0,0.08,1.0,2.0,0.15,,0.0,0.23,1.15,13.0,0.0,0.0,3.98,,0.46,0.23,,6.0,13.0,,0.0,1.23,2.0,,0.0,,,,0.0,0.31,3.98,0.0,,90.0,1170.0,,,,,,,,0.38,,,5.0,2.0,,1.0,10.0,15.0,14.0,12.0,0.31,1.02,0.09,1.18,,7.14,234.0,3.0,- - -,14.0
Gabriel Barbosa - Brazilian,28,Int,,"AM (RL), ST (C)",Man UFC - English Premier Division,,,36000000.0,55000000.0,6.0,0.97,1.0,1.0,100.0,5.81,50.0,2.9,3.0,2.9,0.0,0.0,6.0,,,,,0.0,0.0,0.97,1.0,5.81,6.0,0.0,19.35,22.26,23.0,24.19,25.0,92.0,0.97,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.97,1.0,0.0,,0.0,7.74,17.0,0.97,1.0,4.84,0.0,0.0,,,,0.02,,0.0,8.2mi,8.5mi,0.0,0.0,0.0,0.0,,17.0,0.0,0.0,0.0,,,0.0,0.97,5.81,7.0,7.0,0.0,0.11,,2.9,0.0,,3.0,,,0.0,1.05,0.0,,0.0,,,,0.0,0.11,0.11,34.0,,13.29,93.0,,,,7.17,0.0,7.0,4.0,0.97,,,1.0,2.0,,5.0,0.0,29.0,0.0,4.0,0.11,0.89,0.02,0.02,,7.03,93.0,1.0,- - -,14.0
Nicolás González - Argentinian,27,Int,,"M (R), AM (RL), ST (C)",Fiorentina - Italian Serie A,,,58000000.0,71000000.0,126.0,2.02,65.0,81.0,80.0,2.96,47.0,1.4,45.0,0.84,0.0,0.0,95.0,,,,,3.12,100.0,3.71,119.0,12.96,416.0,5.02,13.12,32.71,1050.0,39.31,1262.0,83.0,1.53,49.0,0.72,23.0,2.9,93.0,25.0,12.0,0.0,0.09,3.0,1.53,49.0,0.0,2.02,65.0,13.74,48.0,1.87,60.0,2.06,1.0,0.0,,,,0.1,4.24,136.0,7.7mi,247.0mi,0.72,23.0,2.9,93.0,24.0,13.0,0.65,21.0,4.0,0.12,0.12,4.0,0.19,3.93,39.0,3.0,1.0,9.46,,1.43,0.9,,46.0,36.0,,0.0,2.03,12.0,,0.0,,,,0.0,0.29,9.46,0.0,,74.08,2889.0,,,,6.58,0.0,7.0,5.0,0.37,,,12.0,24.0,,8.0,7.0,62.0,44.0,74.0,0.29,2.54,0.13,4.24,,7.52,240.75,6.0,- - -,16.0
Abakar Sylla - Ivorian,22,Int,,D (C),Strasbourg - Ligue 1 Uber Eats,,,54000000.0,65000000.0,7.0,1.99,65.0,67.0,97.0,0.61,20.0,0.12,4.0,0.0,0.06,2.0,20.0,,,,,0.31,10.0,0.06,2.0,0.18,6.0,0.73,0.12,17.05,557.0,22.37,731.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.03,0.09,3.0,0.28,100.0,0.21,7.0,,0.0,0.0,,,,0.15,,0.0,0.4mi,11.7mi,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,,0.03,1.0,0.15,0.21,33.0,0.0,2.0,2.91,,0.03,0.0,,1.0,33.0,,5.0,1.06,4.0,,0.0,,,,0.0,0.09,2.91,0.0,,89.12,2941.0,,,,8.9,1.0,5.0,0.0,0.12,,,4.0,1.0,,0.0,32.0,3.0,58.0,36.0,0.09,1.09,0.0,0.0,,7.32,735.25,5.0,- - -,16.0
João Pedro - Brazilian,23,Wnt,,"AM (RLC), ST (C)",Brighton - English Premier Division,,,100000000.0,140000000.0,132.0,1.94,60.0,75.0,80.0,2.97,40.0,1.19,37.0,0.84,0.0,0.0,92.0,,,,,2.39,74.0,3.61,112.0,13.65,423.0,5.23,16.52,33.88,1050.0,40.01,1240.0,85.0,1.32,41.0,0.19,6.0,2.45,76.0,8.0,16.0,0.0,0.0,0.0,1.32,41.0,0.03,1.94,60.0,16.3,44.0,1.87,58.0,2.39,2.0,2.0,,,,0.12,3.58,111.0,7.9mi,245.9mi,0.19,6.0,2.45,76.0,7.0,11.0,0.61,19.0,10.0,0.32,0.42,13.0,0.19,4.26,37.0,0.0,0.0,11.03,,1.32,1.13,,41.0,37.0,,0.0,1.54,6.0,,0.0,,,,0.0,0.36,11.03,251.0,,75.38,2789.0,,,,6.5,0.0,2.0,2.0,0.32,,,10.0,16.0,,12.0,9.0,43.0,40.0,50.0,0.36,-1.03,0.15,4.61,,7.2,278.9,6.0,- - -,15.0
Samuel Chukwueze - Nigerian,26,nEU,,"M (R), AM (RL)",Casciavit - Italian Serie A,,,39000000.0,57000000.0,36.0,2.05,37.0,46.0,80.0,1.77,31.0,0.55,10.0,0.28,0.0,0.0,32.0,,,,,1.72,31.0,2.66,48.0,8.47,153.0,3.04,13.06,26.46,478.0,31.99,578.0,83.0,1.27,23.0,0.22,4.0,1.94,35.0,11.0,7.0,0.0,0.06,1.0,1.27,23.0,0.0,1.11,20.0,9.3,19.0,0.39,7.0,1.61,0.0,0.0,,,,0.11,2.49,45.0,5.2mi,94.1mi,0.22,4.0,1.99,36.0,11.0,16.0,0.55,10.0,2.0,0.11,0.06,1.0,0.11,1.99,26.0,9.0,0.0,3.59,,0.89,0.89,,16.0,17.0,,0.0,1.46,3.0,,0.0,,,,0.0,0.2,3.59,0.0,,62.54,1626.0,,,,,,,,0.28,,,5.0,8.0,,4.0,14.0,31.0,19.0,28.0,0.2,1.41,0.11,2.02,,7.25,325.2,2.0,- - -,17.0
