Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate
2024-25,Fabio Rinaldi,R. Madrid,ST (C),,16,Yth,Full Contract,ITA,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,14-20,,,,,1-9,,2-12,,,,,,,,,,,,6-16,,5-13,9-15,10-16,,,15-20,8-14,,,4-12,,,,5-15,,8-16,4-14,,,,,,4-12,9-15,,,9-17,,6-14,5-13
2024-25,Ángel Carvajal,R. Madrid C,ST (C),,21,Unr,Full Contract,ESP,70000.0,220000.0,166000.0,6/5/2024,6/30/2026,0.0,2.0,2.0,,0.0,0.0,6.7,0.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,8-12,,Low,,,13.0,2-5,9-12,11-15,12-16,1-4,6-9,1-2,1-4,9-13,3-6,1-4,4-7,6-10,8-12,1.0,12-15,13.0,8-11,3-6,2-5,11.0,11.0,1-4,9-12,6-10,3-7,4-7,15-18,10-14,1.0,12.0,7-10,2-6,5-8,1-2,1-2,1-4,7-11,7-11,2-5,5-8,7-11,1-4,7-10,4-8
2024-25,Álex Alemán,R. Madrid C,ST (C),,20,Unr,Full Contract,ESP,9000.0,95000.0,166000.0,6/4/2024,6/30/2026,0.0,12.0,10.0,2.0,4.0,1.0,7.02,0.0,0.0,1.0,Scouting Required,Trained in nation (15-21),,6-11,,Increased,,,13.0,1-4,11-15,14-18,13-17,1-7,5-11,1-4,1-2,5-10,5-10,4-9,2-6,10-14,13-17,1-5,10-16,13.0,11-16,1-6,1-3,13.0,7.0,2-6,1-3,9-13,1-2,7-12,10-14,14-18,1-6,13.0,3-7,4-8,2-8,1-4,1-5,1-2,9-13,6-11,1-3,3-7,11-15,1-4,4-8,6-10
2024-25,Yeray,R. Madrid C,ST (C),,21,Unr,Full Contract,ESP,65000.0,200000.0,17000.0,7/1/2021,6/30/2025,0.0,22.0,0.0,22.0,11.0,2.0,7.09,0.0,0.0,2.0,Youngster,Trained at club (15-21),Balanced,11.0,,Increased,,,9.0,2.0,11.0,11.0,10.0,8.0,4.0,1.0,1.0,11.0,7.0,10.0,6.0,14.0,16.0,1.0,14.0,15.0,12.0,8.0,3.0,12.0,11.0,3.0,8.0,9.0,1.0,9.0,12.0,12.0,2.0,13.0,7.0,6.0,7.0,1.0,2.0,3.0,10.0,6.0,5.0,9.0,11.0,3.0,8.0,13.0
2024-25,Enrique Herrero,R. Madrid C,ST (C),,20,Unr,Full Contract,ESP,12000.0,120000.0,16000.0,7/1/2022,6/30/2025,0.0,32.0,14.0,18.0,10.0,2.0,7.04,3.0,1.0,1.0,Youngster,Trained in nation (15-21),Determined,19.0,,Increased,,,14.0,3.0,15.0,11.0,8.0,9.0,9.0,2.0,3.0,10.0,7.0,7.0,6.0,14.0,14.0,3.0,14.0,14.0,12.0,5.0,1.0,15.0,8.0,1.0,11.0,9.0,1.0,8.0,14.0,15.0,3.0,11.0,8.0,3.0,9.0,3.0,2.0,1.0,7.0,9.0,3.0,7.0,10.0,3.0,8.0,8.0
2024-25,Pablo Montero,R. Madrid,"AM (L), ST (C)",,18,,Full Contract,ESP,8000.0,80000.0,16000.0,7/1/2023,6/30/2026,0.0,,,,,,,,,,Youngster,Trained in nation (15-21),Fairly Determined,16.0,,,,,13.0,2.0,10.0,13.0,7.0,9.0,7.0,3.0,4.0,6.0,6.0,7.0,11.0,11.0,12.0,4.0,9.0,9.0,13.0,4.0,2.0,7.0,5.0,4.0,7.0,6.0,4.0,5.0,12.0,10.0,3.0,14.0,10.0,2.0,5.0,1.0,3.0,3.0,12.0,7.0,6.0,6.0,12.0,1.0,4.0,7.0
2024-25,Pol Rivera,R. Madrid C,"AM (RL), ST (C)",,18,Unr,Full Contract,ESP,450000.0,450000.0,19500.0,7/1/2023,6/30/2026,0.0,33.0,5.0,28.0,5.0,4.0,7.25,3.0,0.0,4.0,Future Prospect,Trained in nation (15-21),Fairly Determined,15.0,,Increased,,,13.0,2.0,8.0,15.0,10.0,12.0,8.0,3.0,3.0,10.0,8.0,8.0,11.0,11.0,13.0,1.0,10.0,11.0,15.0,8.0,3.0,7.0,7.0,1.0,8.0,10.0,6.0,1.0,15.0,11.0,1.0,13.0,11.0,8.0,2.0,1.0,3.0,3.0,10.0,9.0,2.0,9.0,13.0,3.0,9.0,9.0
2024-25,Álvaro Rodríguez,R. Madrid,"AM (L), ST (C)",S13,20,,Full Contract,URU,27000000.0,38000000.0,238000.0,7/1/2021,6/30/2027,0.0,17.0,12.0,5.0,1.0,1.0,6.95,0.0,0.0,0.0,Breakthrough Prospect,Trained at club (15-21),Balanced,7.0,,,,,12.0,1.0,14.0,9.0,11.0,12.0,12.0,1.0,3.0,14.0,12.0,6.0,10.0,10.0,13.0,3.0,15.0,12.0,9.0,7.0,2.0,16.0,15.0,1.0,7.0,11.0,11.0,6.0,15.0,13.0,1.0,13.0,12.0,11.0,7.0,1.0,2.0,1.0,15.0,15.0,6.0,13.0,13.0,3.0,10.0,12.0
2024-25,Noel López,R. Madrid,"AM (RL), ST (C)",S14,22,,Full Contract,ESP,8600000.0,8600000.0,196000.0,7/1/2022,6/30/2026,0.0,10.0,8.0,2.0,1.0,0.0,6.68,0.0,0.0,0.0,Future Prospect,Trained in nation (15-21),Fairly Determined,17.0,,,,,12.0,1.0,10.0,13.0,13.0,15.0,8.0,2.0,2.0,12.0,11.0,11.0,13.0,13.0,12.0,1.0,13.0,13.0,10.0,10.0,2.0,12.0,12.0,1.0,4.0,10.0,8.0,8.0,13.0,13.0,4.0,13.0,14.0,8.0,10.0,2.0,3.0,2.0,14.0,10.0,8.0,10.0,12.0,3.0,10.0,14.0
2024-25,Nico Sánchez,R. Madrid C,"AM (C), ST (C)",,19,Inj,Full Contract,ESP,12000.0,120000.0,22500.0,7/1/2023,6/30/2026,0.0,32.0,1.0,31.0,22.0,5.0,7.13,5.0,0.0,3.0,Youngster,Trained in nation (15-21),Fairly Determined,15.0,A hip injury,Increased,,,7.0,2.0,5.0,11.0,10.0,14.0,4.0,1.0,1.0,11.0,7.0,5.0,8.0,11.0,9.0,1.0,16.0,16.0,11.0,8.0,2.0,10.0,7.0,2.0,10.0,11.0,8.0,8.0,15.0,12.0,2.0,10.0,10.0,9.0,8.0,3.0,3.0,2.0,9.0,8.0,8.0,14.0,13.0,4.0,14.0,11.0
2024-25,Endrick,R. Madrid,"AM (R), ST (C)",S3,18,,Full Contract,BRA,105000000.0,128000000.0,8341000.0,2/1/2025,6/30/2029,77000000.0,37.0,16.0,21.0,16.0,7.0,7.06,3.0,0.0,3.0,Fringe Player,,,14-19,,,,,16.0,2-6,12-16,13-19,12-18,12-16,9-13,1-4,1-5,15-20,8-12,4-8,11-15,10-15,13-19,1-4,16.0,15.0,14-18,10-14,2-6,11.0,6.0,1-5,8-12,13.0,3-8,4-8,19-20,11-17,1-2,15.0,12.0,9-15,7-11,1-4,1-2,1-5,10-15,17.0,6-10,9-13,15.0,1-6,12-16,8-13
2024-25,Gabriel,R. Madrid,AM (L),,17,Yth,Full Contract,ESP,Unknown,Unknown,3600.0,7/11/2022,6/30/2028,0.0,,,,,,,,,,Scouting Required,,,10-16,,,,,12-20,,12-20,,,,,,,,,,,,4-12,,7-15,7-13,6-16,,,1-9,1-6,,,2-8,,,,1-8,,10-18,8-18,,,,,,10-16,3-9,,,10-16,,1-8,6-12
