Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Ability,Potential,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Injury Susceptibility,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2025-2026,Costa,Benfica,GK,GK,17.0,,Full Contract,POR,23000000.0,28000000.0,84000.0,11/27/2025,6/30/2028,0.0,,,1.0,1.0,,0.0,0.0,6.9,0.0,0.0,0.0,Future Prospect,Trained at club (15-21),Perfectionist,17.0,,Normal,,,Low,11.0,9.0,14.0,13.0,10.0,10.0,13.0,9.0,14.0,5.0,13.0,4.0,2.0,13.0,1.0,2.0,3.0,8.0,1.0,4.0,14.0,1.0,9.0,13.0,5.0,2.0,2.0,2.0,6.0,1.0,13.0,7.0,5.0,1.0,13.0,15.0,14.0,10.0,10.0,7.0,1.0,14.0,11.0,11.0,11.0,13.0,,,,,,,0.0,,,,,,,,,1.2,,0.0,,0.0,0.03,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,100.0,6.0,,6.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,100.0,0.0,0.0,27.0,1.0,0.0,,,,,,,,,25.0,25.0,25.0,,0.0,,0.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,,,0.0,5.0,1.0,,
2025-2026,Estêvão Estrelado,Benfica,"M (C), AM (L)",,17.0,Rst,Full Contract,POR,20000000.0,26000000.0,86000.0,6/7/2025,6/30/2028,0.0,,,,,,,,,,,,Future Prospect,Trained at club (15-21),Driven,18.0,,Increased,,,Above Average,12.0,2.0,9.0,15.0,9.0,12.0,8.0,1.0,1.0,9.0,7.0,8.0,8.0,9.0,13.0,1.0,8.0,13.0,15.0,7.0,3.0,7.0,10.0,2.0,10.0,11.0,5.0,2.0,14.0,9.0,2.0,14.0,11.0,8.0,5.0,3.0,2.0,2.0,15.0,9.0,7.0,16.0,13.0,3.0,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,9.0,3.0,3.0
2025-2026,Sébastien Langlois,Benfica,"D (RLC), DM",DM,18.0,,Full Contract,FRA,49000000.0,59000000.0,1144000.0,1/2/2026,6/30/2028,47000000.0,,,4.0,4.0,,0.0,0.0,7.05,0.0,0.0,0.0,Future Prospect,,Resolute,15.0,,Normal,,,Low,14.0,2.0,12.0,13.0,13.0,13.0,18.0,3.0,2.0,7.0,11.0,5.0,8.0,14.0,10.0,2.0,4.0,13.0,9.0,5.0,1.0,7.0,12.0,3.0,3.0,5.0,5.0,14.0,13.0,7.0,3.0,13.0,8.0,6.0,14.0,3.0,2.0,2.0,14.0,9.0,15.0,10.0,12.0,3.0,10.0,15.0,5.0,3.95,,0.0,,1.58,2.0,2.0,1.58,,66.0,3.0,2.37,2.0,1.58,12.4,9.8,3.0,2.37,0.0,,,,0.0,0.0,,5.0,3.95,100.0,21.32,1.0,0.79,0.0,3.0,2.37,0.0,0.0,0.0,0.0,67.0,3.0,2.37,2.0,1.58,3.0,2.37,91.0,95.0,75.0,86.0,67.89,9.47,11.84,17.0,13.42,3.0,2.37,17.0,13.42,,,,,0.0,0.0,0.0,0.0,,,,,100.0,5.0,5.0,3.95,,,0.57,0.45,0.0,0.0,1.0,1.0,75.0,1.0,0.0,2.0,3.0,,,,,,,,,,114.0,28.5,,,0.0,0.0,0.0,,,,0.0,,1.9,,4.0,,0.0,3.16,,0.0,19.0,17.0,,
2025-2026,Callan McKenna,Benfica,GK,S1,19.0,Loa,Full Contract,SCO,15000000.0,21000000.0,585000.0,8/24/2025,6/30/2030,13750000.0,,,,,,,,,,,,Future Prospect,,Balanced,14.0,,Normal,,,Below Average,9.0,13.0,6.0,12.0,14.0,11.0,15.0,12.0,8.0,15.0,13.0,6.0,7.0,13.0,8.0,12.0,4.0,11.0,10.0,4.0,12.0,6.0,15.0,15.0,7.0,4.0,12.0,3.0,13.0,10.0,16.0,12.0,13.0,2.0,11.0,12.0,11.0,11.0,13.0,15.0,7.0,7.0,10.0,14.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,
2025-2026,Patrick Alves,Benfica,D (LC),,16.0,Yth,Full Contract,POR,1900000.0,3900000.0,3600.0,3/20/2025,6/30/2029,0.0,,,,,,,,,,,,Youngster,,Balanced,10.0,,High,,,Below Average,13.0,2.0,15.0,11.0,9.0,9.0,17.0,3.0,4.0,12.0,10.0,5.0,9.0,12.0,8.0,1.0,5.0,8.0,6.0,7.0,3.0,9.0,10.0,2.0,8.0,4.0,4.0,11.0,15.0,6.0,1.0,10.0,9.0,7.0,9.0,3.0,4.0,3.0,11.0,11.0,15.0,10.0,13.0,1.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
2025-2026,Abulai Tavares,Benfica,"AM (LC), ST (C)",,17.0,Rst,Full Contract,POR,23000000.0,29000000.0,168000.0,7/16/2025,6/30/2028,0.0,,,,,,,,,,,,Future Prospect,,Ambitious,10.0,,Increased,,,Very High,10.0,2.0,11.0,13.0,12.0,15.0,8.0,3.0,2.0,13.0,10.0,9.0,13.0,13.0,14.0,3.0,14.0,13.0,14.0,7.0,3.0,12.0,12.0,2.0,8.0,10.0,5.0,6.0,15.0,13.0,2.0,14.0,12.0,8.0,5.0,3.0,1.0,2.0,10.0,9.0,7.0,9.0,15.0,2.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,8.0,18.0,1.0
2025-2026,Gustavo Ferreira,AVS SAD,ST (C),,18.0,Inj,Full Contract,POR,14000000.0,17000000.0,249000.0,11/5/2024,6/30/2027,0.0,,,40.0,2.0,38.0,21.0,2.0,6.95,1.0,0.0,3.0,Out On Loan,Trained at club (15-21),Resolute,15.0,A pulled groin,High,,,Below Average,14.0,2.0,10.0,13.0,12.0,14.0,10.0,1.0,4.0,12.0,11.0,8.0,7.0,12.0,10.0,1.0,12.0,11.0,13.0,6.0,3.0,12.0,12.0,1.0,7.0,10.0,6.0,7.0,14.0,13.0,3.0,15.0,9.0,11.0,8.0,2.0,2.0,2.0,12.0,13.0,6.0,10.0,12.0,1.0,12.0,9.0,343.0,9.63,0.06,8.0,0.22,0.34,12.0,14.0,0.39,24.0,18.0,27.0,0.76,5.0,0.14,266.0,7.5,40.0,1.12,0.13,,,,0.0,2.0,6.8,101.0,2.84,29.0,6.24,34.0,0.96,0.08,27.0,0.76,1.0,0.03,0.0,27.0,19.0,27.0,0.76,5.0,0.14,27.0,0.76,86.0,851.0,23.9,730.0,20.51,15.37,2.75,256.0,7.19,60.0,1.69,19.0,0.53,,,,,89.0,0.0,0.0,0.65,48.0,1.35,54.0,2.5,76.0,51.0,39.0,1.1,152.57,,4.53,0.13,9.2,0.33,65.0,40.0,55.0,10.0,8.0,,22.0,,,0.59,,,,,,,3204.0,80.1,,519.0,11.8,0.33,0.0,,,,0.0,,1.9,,59.0,,0.98,1.66,,11.8,73.0,65.0,37.0,29.0
2025-2026,Luka Topalović,Wolves,AM (C),,20.0,Trv,Full Contract,SVN,30000000.0,34000000.0,1001000.0,1/2/2025,6/30/2029,3000000.0,,,35.0,0.0,35.0,8.0,1.0,6.84,2.0,1.0,1.0,Out On Loan,,Balanced,12.0,,Increased,5.0,0.0,Average,14.0,3.0,11.0,14.0,17.0,13.0,11.0,1.0,2.0,14.0,13.0,14.0,13.0,14.0,15.0,1.0,14.0,13.0,14.0,12.0,3.0,10.0,11.0,3.0,11.0,16.0,5.0,7.0,12.0,14.0,2.0,14.0,14.0,15.0,11.0,1.0,3.0,2.0,14.0,13.0,8.0,12.0,15.0,1.0,17.0,12.0,122.0,3.71,0.03,6.0,0.18,0.27,9.0,24.0,0.73,13.0,20.0,155.0,4.71,27.0,0.82,277.2,8.4,66.0,2.01,0.11,,,,6.0,3.0,2.28,47.0,1.43,39.0,13.34,54.0,1.64,0.0,56.0,1.7,0.0,0.0,0.0,7.0,17.0,30.0,0.91,6.0,0.18,43.0,1.31,85.0,1078.0,32.77,920.0,27.96,17.84,10.21,353.0,10.73,89.0,2.71,74.0,2.25,,,,,61.0,2.0,0.06,0.88,22.0,0.67,36.0,1.85,79.0,72.0,57.0,1.73,370.12,,3.43,0.1,1.09,0.21,29.0,29.0,26.0,6.0,20.0,,9.0,,,0.24,0.0,6.68,,,,,2961.0,84.6,,150.0,6.12,0.19,3.0,,,,3.0,100.0,0.94,,28.0,,1.52,0.85,,6.91,110.0,109.0,13.0,13.0
2025-2026,Tiago Parente,Benfica,"D (RL), WB (L)",DL,19.0,,Full Contract,POR,24000000.0,34000000.0,2366000.0,2/8/2026,6/30/2030,0.0,,,44.0,13.0,31.0,1.0,8.0,7.06,5.0,0.0,3.0,Regular Starter,Trained at club (15-21),Fairly Professional,13.0,,Increased,,,Below Average,15.0,2.0,11.0,15.0,13.0,15.0,10.0,2.0,1.0,13.0,13.0,11.0,14.0,14.0,12.0,3.0,9.0,13.0,14.0,10.0,3.0,10.0,13.0,1.0,8.0,9.0,10.0,12.0,14.0,15.0,3.0,16.0,13.0,9.0,13.0,2.0,3.0,3.0,12.0,12.0,12.0,12.0,14.0,2.0,14.0,13.0,109.0,3.4,0.25,27.0,0.84,0.53,17.0,31.0,0.97,17.0,26.0,201.0,6.27,42.0,1.31,269.2,8.4,70.0,2.19,0.12,,,,0.0,0.0,0.91,80.0,2.5,73.0,17.64,100.0,3.12,0.12,58.0,1.81,5.0,0.16,1.0,6.0,21.0,100.0,3.12,26.0,0.81,41.0,1.28,89.0,1972.0,61.56,1750.0,54.63,12.36,13.99,321.0,10.02,100.0,3.12,245.0,7.65,,,,,6.0,8.0,0.25,0.03,2.0,0.06,33.0,0.19,86.0,121.0,104.0,3.25,2883.0,,5.71,0.18,0.26,0.02,35.0,26.0,77.0,5.0,5.0,,34.0,,,0.03,,,,,,6.9,2883.0,65.52,,963.0,0.74,0.02,0.0,,,,0.0,,2.43,,74.0,,0.81,2.31,,0.74,120.0,88.0,4.0,4.0
2025-2026,Tiago Freitas,Watford,"M (C), AM (RC)",,19.0,,Full Contract,POR,13500000.0,18500000.0,163000.0,1/3/2025,6/30/2029,0.0,,,44.0,14.0,30.0,5.0,5.0,6.87,3.0,0.0,1.0,Out On Loan,Trained at club (15-21),Fairly Professional,14.0,,,,,Average,15.0,2.0,11.0,13.0,12.0,14.0,9.0,3.0,3.0,13.0,12.0,10.0,10.0,14.0,14.0,4.0,11.0,13.0,16.0,10.0,3.0,8.0,12.0,1.0,9.0,10.0,4.0,11.0,16.0,12.0,1.0,15.0,15.0,10.0,10.0,3.0,3.0,2.0,12.0,12.0,8.0,11.0,14.0,1.0,15.0,12.0,117.0,3.98,0.17,10.0,0.34,0.37,11.0,12.0,0.41,13.0,14.0,27.0,0.92,4.0,0.14,222.7,7.6,33.0,1.12,0.11,,,,0.0,0.0,2.45,45.0,1.53,38.0,10.24,46.0,1.57,0.17,35.0,1.19,3.0,0.1,0.0,6.0,15.0,27.0,0.92,4.0,0.14,34.0,1.16,88.0,1261.0,42.91,1108.0,37.7,13.13,10.11,331.0,11.26,86.0,2.93,108.0,3.67,,,,,40.0,0.0,0.0,0.41,14.0,0.48,35.0,1.36,66.0,73.0,48.0,1.63,529.0,,6.4,0.22,0.52,0.15,23.0,32.0,30.0,14.0,17.0,,13.0,,,0.17,,,,,,,2645.0,60.11,,101.0,4.48,0.15,0.0,,,,0.0,,1.2,,35.0,,1.43,1.19,,4.48,81.0,75.0,10.0,10.0
