Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2025-2026,Florian Wirtz - German,23,,Bojan Krkic (3/16/2026),"M (C), AM (RLC), ST (C)",Bayer 04 - Bundesliga,,,126000000.0,126000000.0,123.0,1.57,61.0,80.0,76.0,2.31,48.0,1.1,43.0,0.82,0.08,3.0,90.0,,,,,2.11,82.0,3.19,124.0,11.15,434.0,9.53,8.79,33.4,1300.0,38.87,1513.0,86.0,1.16,45.0,0.1,4.0,0.72,28.0,33.0,7.0,0.0,0.0,0.0,1.28,50.0,0.0,1.52,59.0,12.56,20.0,0.62,24.0,2.54,7.0,3.0,,,,0.13,2.24,87.0,8.4,326.2,0.39,15.0,1.18,46.0,14.0,14.0,0.62,24.0,13.0,0.33,0.33,13.0,0.15,3.16,41.0,0.0,0.0,11.34,,1.39,1.26,,54.0,41.0,,0.0,1.49,2.0,,0.0,,,,0.0,0.29,11.34,228.0,,85.44,3503.0,,,,,,,,0.33,,,13.0,16.0,,12.0,13.0,39.0,31.0,70.0,0.29,1.66,0.11,4.29,,7.0,269.46,6.0,- - -,16.0
2025-2026,Franck Kessié - Ivorian,29,Int,,"DM, M (C)",Al-Ahli (KSA) - Saudi Professional League,,,38000000.0,54000000.0,0.0,2.19,90.0,101.0,89.0,0.66,30.0,0.19,8.0,0.0,0.0,0.0,27.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,620.0,20.45,840.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,0.0,0.0,0.0,,,0.0,0.24,,42.0,1.0,2.0,4.84,,0.0,0.0,,0.0,41.0,,1.0,1.0,6.0,100.0,2.0,,,,2.0,0.08,3.24,0.0,,88.0,3696.0,,,,7.12,2.0,9.0,0.0,0.15,,,6.0,0.0,,0.0,42.0,0.0,52.0,53.0,0.12,1.16,0.07,2.9,,7.87,616.0,10.0,- - -,14.0
2025-2026,Nicolás González - Argentinian,28,Int,,"M (R), AM (RL), ST (C)",Fiorentina - Italian Serie A,,,84000000.0,103000000.0,199.0,2.59,98.0,113.0,87.0,3.46,44.0,1.53,58.0,1.14,0.0,0.0,131.0,,,,,2.46,93.0,3.8,144.0,13.86,525.0,5.57,12.46,32.39,1227.0,38.44,1456.0,84.0,1.58,60.0,0.71,27.0,2.82,107.0,25.0,17.0,0.0,0.03,1.0,1.58,60.0,0.05,1.53,58.0,14.86,44.0,2.3,87.0,2.96,3.0,2.0,,,,0.11,3.78,143.0,8.0,302.8,0.71,27.0,2.82,107.0,25.0,17.0,0.5,19.0,12.0,0.32,0.26,10.0,0.34,5.25,44.0,1.0,0.0,13.76,,2.16,1.06,,82.0,43.0,,0.0,1.98,16.0,100.0,4.0,,,,4.0,0.34,12.96,0.0,,77.48,3409.0,,,,7.02,1.0,6.0,0.0,0.58,,,22.0,25.0,,7.0,12.0,57.0,60.0,69.0,0.36,8.24,0.17,6.56,,7.74,154.95,13.0,- - -,16.0
2025-2026,Sávio - Brazilian,22,Wnt,Javier Ribalta (3/25/2026),"M (L), AM (RL), ST (C)",Troyes - Ligue 2 BKT,,,50000000.0,71000000.0,0.0,1.09,36.0,60.0,60.0,3.45,60.0,2.06,68.0,0.0,0.0,0.0,114.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,419.0,20.0,660.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,0.0,0.0,,,0.0,0.42,,33.0,0.0,0.0,11.22,,0.0,0.0,,0.0,33.0,,0.0,1.0,2.0,,0.0,,,,0.0,0.34,11.22,0.0,,90.0,2970.0,,,,,,,,0.58,,,19.0,0.0,,0.0,33.0,0.0,25.0,53.0,0.34,7.78,0.11,3.55,,7.87,156.32,14.0,- - -,16.0
2025-2026,Khephren Thuram - French,25,Int,,"DM, M (C)",OGC Nice - Ligue 1 Uber Eats,,,109000000.0,153000000.0,102.0,1.99,67.0,87.0,77.0,2.02,35.0,0.71,24.0,0.56,0.0,0.0,68.0,,,,,2.82,95.0,2.11,71.0,9.43,318.0,13.02,5.28,38.12,1285.0,44.73,1508.0,85.0,1.13,38.0,0.06,2.0,0.47,16.0,13.0,3.0,0.0,0.03,1.0,1.13,38.0,0.09,1.36,46.0,10.83,51.0,1.54,52.0,1.48,2.0,0.0,,,,0.13,1.57,53.0,6.4,215.8,0.06,2.0,0.47,16.0,12.0,9.0,0.59,20.0,10.0,0.3,0.44,15.0,0.18,3.03,36.0,0.0,3.0,9.02,,1.48,0.86,,50.0,36.0,,1.0,1.64,5.0,,0.0,,,,0.0,0.27,9.02,0.0,,84.28,3034.0,,,,7.15,1.0,2.0,1.0,0.18,,,6.0,16.0,,9.0,11.0,44.0,32.0,30.0,0.27,-3.02,0.21,7.17,,7.31,505.67,6.0,- - -,16.0
2025-2026,Maurits Kjærgaard - Danish,22,Int,,"M (C), AM (RLC), ST (C)",FC RB Salzburg - Austrian Premier Division,,,22000000.0,22000000.0,97.0,1.46,40.0,52.0,77.0,3.58,44.0,1.57,43.0,0.55,0.04,1.0,98.0,,,,,0.66,18.0,1.46,40.0,5.88,161.0,3.65,5.84,19.12,524.0,25.8,707.0,74.0,0.33,9.0,0.11,3.0,1.13,31.0,13.0,2.0,1.0,0.04,1.0,0.44,12.0,0.07,0.73,20.0,6.64,65.0,2.3,63.0,1.24,2.0,3.0,,,,0.11,0.69,19.0,4.1,111.2,0.15,4.0,1.17,32.0,9.0,10.0,0.29,8.0,2.0,0.07,0.18,5.0,0.11,3.54,29.0,0.0,1.0,10.51,,0.99,0.62,,27.0,29.0,,1.0,1.38,0.0,,0.0,,,,0.0,0.38,10.51,0.0,,85.03,2466.0,,,,6.6,0.0,1.0,1.0,0.36,,,10.0,8.0,,5.0,16.0,28.0,14.0,38.0,0.38,-0.51,0.12,3.36,,6.9,246.6,3.0,- - -,15.0
2025-2026,Willian Pacho - Ecuadorian,24,Int,,D (LC),Eintracht Frankfurt - Bundesliga,,,78000000.0,78000000.0,329.0,1.14,55.0,69.0,80.0,0.5,25.0,0.12,6.0,0.04,0.56,27.0,24.0,,,,,5.07,244.0,1.16,56.0,3.12,150.0,17.8,2.83,65.71,3160.0,70.52,3391.0,93.0,0.21,10.0,0.08,4.0,0.27,13.0,31.0,1.0,1.0,0.12,6.0,0.21,10.0,0.75,1.89,91.0,6.53,65.0,4.47,215.0,2.37,0.0,0.0,,,,0.1,0.4,19.0,7.4,354.8,0.08,4.0,0.27,13.0,30.0,4.0,1.1,53.0,5.0,0.1,0.46,22.0,0.08,6.84,48.0,0.0,8.0,2.36,,1.06,0.62,,51.0,48.0,,0.0,1.62,6.0,,0.0,,,,0.0,0.05,2.36,2046.0,,90.17,4328.0,,,,6.87,0.0,6.0,1.0,0.02,,,1.0,20.0,,10.0,18.0,42.0,27.0,14.0,0.05,-1.36,0.05,2.35,,7.08,4328.0,4.0,- - -,15.0
2025-2026,Newertton - Brazilian,21,Sct,,AM (RLC),Shakhtar - Ukrainian Premier League,,,22000000.0,22000000.0,74.0,1.88,67.0,88.0,76.0,2.55,44.0,1.12,40.0,0.45,0.11,4.0,91.0,,,,,1.23,44.0,1.4,50.0,5.55,198.0,3.11,5.94,18.63,665.0,24.49,874.0,76.0,0.53,19.0,0.34,12.0,1.79,64.0,13.0,11.0,0.0,0.0,0.0,0.7,25.0,0.03,0.84,30.0,8.66,20.0,0.42,15.0,1.65,0.0,8.0,,,,0.13,1.85,66.0,3.5,124.5,0.45,16.0,3.53,126.0,18.0,9.0,0.28,10.0,6.0,0.17,0.17,6.0,0.28,2.07,36.0,0.0,1.0,11.64,,0.67,0.67,,24.0,36.0,,0.0,1.25,4.0,100.0,1.0,,,,1.0,0.33,11.64,0.0,,89.22,3212.0,,,,,,,,0.22,,,8.0,7.0,,5.0,24.0,19.0,55.0,49.0,0.33,-3.64,0.09,3.39,,7.5,401.5,10.0,- - -,16.0
2025-2026,Semih Kılıçsoy - Turkish,20,Int,,"AM (RL), ST (C)",Beşiktaş - Turkish Super League,,,40000000.0,47000000.0,133.0,1.31,46.0,56.0,82.0,3.33,53.0,1.76,62.0,0.57,0.0,0.0,117.0,,,,,0.51,18.0,0.88,31.0,4.04,142.0,1.51,8.19,15.62,549.0,20.66,726.0,76.0,0.4,14.0,0.09,3.0,0.26,9.0,33.0,17.0,0.0,0.0,0.0,0.4,14.0,0.06,0.63,22.0,3.41,27.0,1.02,36.0,2.76,0.0,0.0,,,,0.11,0.6,21.0,4.2,146.6,0.09,3.0,0.26,9.0,33.0,19.0,0.23,8.0,6.0,0.17,0.06,2.0,0.2,3.78,38.0,1.0,2.0,13.12,,0.85,0.77,,30.0,37.0,,1.0,1.39,1.0,100.0,1.0,,,,1.0,0.37,13.12,0.0,,83.24,3163.0,,,,7.46,0.0,9.0,0.0,0.63,,,22.0,11.0,,7.0,20.0,29.0,32.0,89.0,0.37,8.88,0.11,3.77,,7.24,143.77,7.0,- - -,16.0
2025-2026,Ferdi Kadıoğlu - Turkish,26,Int,,D/WB (RL),Fenerbahçe - Turkish Super League,,,22000000.0,33000000.0,57.0,2.4,91.0,105.0,87.0,0.48,33.0,0.16,6.0,0.05,0.13,5.0,18.0,,,,,4.25,161.0,1.61,61.0,5.99,227.0,7.79,7.76,33.26,1260.0,38.62,1463.0,86.0,0.42,16.0,0.26,10.0,0.98,37.0,27.0,2.0,0.0,0.03,1.0,0.42,16.0,0.08,1.9,72.0,10.22,25.0,0.37,14.0,1.14,0.0,1.0,,,,0.13,1.72,65.0,4.7,179.5,0.26,10.0,0.98,37.0,27.0,6.0,0.84,32.0,7.0,0.18,0.45,17.0,0.11,1.5,38.0,0.0,3.0,2.3,,0.58,0.71,,22.0,38.0,,0.0,1.21,1.0,,0.0,,,,0.0,0.06,2.3,0.0,,89.71,3409.0,,,,7.47,5.0,7.0,0.0,0.03,,,1.0,9.0,,10.0,19.0,24.0,45.0,52.0,0.06,-1.3,0.1,3.93,,7.34,3409.0,4.0,- - -,15.0
