Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Ability,Potential,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Injury Susceptibility,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,João Neves,Benfica,"DM, M/AM (C)",S12,23,Trv,Full Contract,POR,59000000.0,70000000.0,4159000.0,9/10/2025,6/30/2030,0.0,,,43.0,5.0,38.0,1.0,4.0,7.02,6.0,1.0,1.0,Important Player,Trained at club (15-21),Resolute,17,A broken ankle,High,5.0,2.0,Above Average,13,2,17,15,14,15,16,1,3,14,17,14,13,14,14,3,12,14,15,11,2,13,12,2,13,13,11,11,17,13,3,14,14,11,13,4,3,1,15,14,12,14,14,1,15,16,118.0,3.39,0.11,10.0,0.29,0.34,12.0,12.0,0.34,4.0,40.0,36.0,1.03,11.0,0.32,288.9,8.3,24.0,0.69,0.06,,,,0.0,1.0,1.46,67.0,1.92,57.0,10.18,63.0,1.81,0.03,44.0,1.26,6.0,0.17,0.0,0.0,31.0,22.0,0.63,9.0,0.26,39.0,1.12,92.0,2271.0,65.15,2079.0,59.65,6.54,9.04,294.0,8.43,97.0,2.78,267.0,7.66,,,,,24.0,6.0,0.17,0.37,12.0,0.34,50.0,0.69,82.0,97.0,80.0,2.3,3137.0,,3.64,0.1,-0.35,0.04,19.0,43.0,74.0,8.0,3.0,,32.0,,,0.03,1.0,7.15,,,,,3137.0,72.95,,2929.0,1.35,0.04,0.0,,,,0.0,,2.42,,76.0,,0.72,2.18,,1.35,239.0,149.0,23.0,13.0
2027-2028,Andreas Schjelderup,Benfica,"M/AM (L), ST (C)",AML,23,Trv,Full Contract,NOR,64000000.0,71000000.0,4732000.0,7/15/2026,6/30/2031,12250000.0,,,48.0,4.0,44.0,23.0,18.0,7.4,3.0,0.0,11.0,Important Player,,Fairly Professional,14,,High,5.0,1.0,Very High,15,3,9,17,17,11,10,1,3,16,14,14,13,14,16,2,15,17,15,15,2,9,7,2,10,15,3,6,14,17,1,15,15,17,8,2,1,1,11,11,4,13,16,3,18,13,140.0,3.96,0.51,15.0,0.42,1.61,57.0,13.0,0.37,23.0,28.0,311.0,8.79,77.0,2.18,297.8,8.4,98.0,2.77,0.17,,,,25.0,4.0,2.94,36.0,1.02,26.0,17.16,61.0,1.72,0.03,134.0,3.79,0.0,0.0,0.0,57.0,25.0,121.0,3.42,34.0,0.96,65.0,1.84,82.0,1552.0,43.88,1273.0,35.99,17.87,6.9,484.0,13.69,148.0,4.18,133.0,3.76,,,,,99.0,4.0,0.11,1.27,47.0,1.33,47.0,2.8,81.0,95.0,77.0,2.18,138.39,,17.65,0.5,5.75,0.49,84.0,72.0,81.0,5.0,4.0,,39.0,,,0.65,0.0,6.78,,,,7.2,3183.0,66.31,,43.0,10.91,0.31,8.0,,,,8.0,100.0,2.54,,84.0,,0.59,2.38,,17.25,270.0,186.0,83.0,62.0
2027-2028,Willian Pacho,Benfica,D (LC),DCL,26,Wnt,Full Contract,ECU,59000000.0,65000000.0,7020000.0,7/1/2026,6/30/2031,87000000.0,,,48.0,5.0,43.0,4.0,1.0,7.05,2.0,0.0,1.0,Star Player,,Spirited,16,,Increased,6.0,0.0,Below Average,15,3,12,14,16,16,16,3,1,15,15,3,7,14,11,4,7,13,11,4,4,14,14,3,10,8,11,17,14,11,1,16,14,8,16,3,2,2,14,16,16,13,12,3,14,16,276.0,6.71,0.02,18.0,0.44,0.12,5.0,29.0,0.7,15.0,50.0,8.0,0.19,4.0,0.1,292.9,7.1,11.0,0.27,0.11,,,,0.0,0.0,2.72,164.0,3.99,59.0,4.47,111.0,2.7,0.44,12.0,0.29,3.0,0.07,1.0,2.0,50.0,8.0,0.19,4.0,0.1,12.0,0.29,94.0,3144.0,76.41,2958.0,71.89,4.74,11.11,144.0,3.5,49.0,1.19,246.0,5.98,,,,,27.0,16.0,0.39,0.02,11.0,0.27,41.0,0.66,88.0,43.0,38.0,0.92,925.75,,1.79,0.04,1.05,0.07,9.0,16.0,75.0,8.0,4.0,,36.0,,,0.1,0.0,6.68,,,,7.0,3703.0,77.15,,1257.0,2.95,0.07,0.0,,,,0.0,,2.42,,98.0,,0.68,2.38,,2.95,251.0,209.0,6.0,3.0
2027-2028,Fredrik Aursnes,Benfica,"D (L), DM, M (C), AM (RL)",DM,32,Trv,Full Contract,NOR,25000000.0,30000000.0,4493000.0,7/6/2027,6/30/2030,14500000.0,,,51.0,5.0,46.0,2.0,6.0,6.97,7.0,0.0,0.0,Regular Starter,,Professional,16,Bruised ribs,Increased,4.0,1.0,Low,13,1,15,12,13,16,15,2,3,14,14,14,14,15,10,2,9,14,12,7,3,9,10,2,14,9,6,11,20,11,1,13,14,10,15,1,3,1,15,11,13,16,14,3,12,18,95.0,2.3,0.15,5.0,0.12,0.41,17.0,14.0,0.34,4.0,31.0,137.0,3.32,20.0,0.48,344.8,8.4,50.0,1.21,0.1,,,,0.0,1.0,1.16,47.0,1.14,49.0,12.34,70.0,1.7,0.07,66.0,1.6,4.0,0.1,0.0,5.0,15.0,38.0,0.92,12.0,0.29,56.0,1.36,89.0,2910.0,70.54,2582.0,62.59,11.05,7.66,442.0,10.71,130.0,3.15,346.0,8.39,,,,,46.0,0.0,0.0,0.82,17.0,0.41,37.0,1.12,67.0,108.0,72.0,1.75,1856.5,,6.97,0.17,-2.49,0.11,33.0,54.0,75.0,9.0,4.0,,38.0,,,0.05,1.0,6.83,,,,7.8,3713.0,72.8,,22.0,3.7,0.09,1.0,,,,0.0,0.0,2.41,,88.0,,0.63,2.13,,4.49,575.0,483.0,62.0,53.0
2027-2028,Mason Greenwood,Benfica,"M (R), AM (RLC), ST (C)",AMR,26,Wnt,Full Contract,ENG,48000000.0,60000000.0,7800000.0,9/15/2027,6/30/2032,0.0,,,44.0,5.0,39.0,18.0,7.0,7.2,1.0,0.0,4.0,Star Player,,Jovial,14,,Low,,,Low,15,2,13,16,13,13,10,1,1,16,11,4,13,11,17,1,16,15,16,14,2,7,11,3,5,13,3,1,15,13,2,16,13,9,5,3,2,4,12,9,2,11,14,3,13,12,146.0,4.3,0.21,12.0,0.35,0.94,32.0,12.0,0.35,18.0,18.0,166.0,4.88,37.0,1.09,283.0,8.3,143.0,4.21,0.11,,,,10.0,5.0,2.88,48.0,1.41,33.0,15.71,62.0,1.82,0.03,79.0,2.32,1.0,0.03,0.0,12.0,22.0,104.0,3.06,19.0,0.56,54.0,1.59,82.0,1251.0,36.81,1021.0,30.04,15.12,6.68,464.0,13.65,130.0,3.82,95.0,2.8,,,,,98.0,3.0,0.09,1.62,39.0,1.15,40.0,2.88,80.0,88.0,70.0,2.06,169.94,,7.37,0.22,6.91,0.33,79.0,24.0,73.0,8.0,4.0,,32.0,,,0.53,,,,,,6.6,3059.0,69.52,,404.0,11.09,0.33,0.0,,,,0.0,,2.36,,80.0,,0.65,2.35,,11.09,289.0,232.0,87.0,70.0
2027-2028,Marcos Leonardo,Benfica,"AM (L), ST (C)",STC,25,Wnt,Full Contract,BRA,46000000.0,55000000.0,7020000.0,9/2/2027,6/30/2032,19250000.0,,,36.0,6.0,30.0,13.0,4.0,7.03,2.0,0.0,4.0,Important Player,,Balanced,13,,Increased,,,Low,16,2,12,15,16,13,13,2,3,17,14,7,10,14,13,3,16,13,14,5,3,14,11,3,13,13,8,6,15,16,2,14,12,9,7,3,3,2,15,14,4,12,16,2,12,14,163.0,5.51,0.14,9.0,0.3,0.41,12.0,6.0,0.2,22.0,17.0,47.0,1.59,8.0,0.27,226.9,7.7,49.0,1.66,0.17,,,,0.0,1.0,3.68,54.0,1.83,33.0,9.26,40.0,1.35,0.07,30.0,1.01,3.0,0.1,0.0,32.0,17.0,47.0,1.59,8.0,0.27,30.0,1.01,86.0,758.0,25.62,652.0,22.04,7.54,5.24,289.0,9.77,74.0,2.5,59.0,1.99,,,,,59.0,2.0,0.07,0.47,31.0,1.05,53.0,1.99,72.0,43.0,31.0,1.05,204.85,,4.54,0.15,2.93,0.34,41.0,42.0,69.0,8.0,3.0,,25.0,,,0.44,,,,,,6.6,2663.0,73.97,,175.0,10.07,0.34,0.0,,,,0.0,,2.31,,69.0,,0.47,2.33,,10.07,299.0,223.0,88.0,70.0
2027-2028,Mario Coronel,Benfica,GK,S1,19,,Full Contract,ARG,45000000.0,52000000.0,2028000.0,1/17/2028,6/30/2032,7000000.0,,,18.0,2.0,16.0,0.0,0.0,7.09,0.0,0.0,1.0,First-Choice Goalkeeper,,Model Citizen,17,,Low,7.0,0.0,Low,11,14,15,16,16,12,15,13,13,12,13,6,1,17,3,12,3,9,2,4,12,1,12,18,8,1,3,3,8,1,15,12,12,7,16,14,16,10,11,13,2,11,10,13,10,14,,,,,,,0.0,,1.8,,,,,,,68.1,3.9,0.0,,0.0,4.11,0.24,82.0,,,,,,,0.0,3.0,0.17,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,93.0,372.0,21.57,346.0,20.06,1.97,4.41,0.0,0.0,0.0,0.0,3.0,0.17,85.0,12.0,11.0,7.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,,0.64,0.0,0.0,0.0,0.0,0.0,0.0,83.0,2.0,1.0,5.0,15.0,8.0,0.46,,0.0,7.1,6.0,,,,1552.0,86.22,150.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.61,11.0,39.0,8.0,0.46,2.26,1.0,0.0,93.0,81.0,,
2027-2028,Julio Patiño,Benfica,"D (RC), DM",S2,20,,Full Contract,COL,43000000.0,57000000.0,1001000.0,1/2/2027,6/30/2031,3000000.0,,,50.0,31.0,19.0,3.0,11.0,7.08,4.0,0.0,4.0,Squad Player,,Driven,19,,Low,4.0,0.0,Below Average,13,1,17,15,17,14,10,3,2,15,11,10,12,13,9,2,7,12,9,10,1,12,17,1,11,7,14,14,18,10,1,15,10,6,15,3,3,3,14,12,14,12,10,3,12,11,196.0,6.31,0.35,14.0,0.45,0.51,16.0,19.0,0.61,12.0,20.0,80.0,2.57,16.0,0.51,254.9,8.2,37.0,1.19,0.1,,,,0.0,0.0,1.35,154.0,4.96,79.0,12.94,76.0,2.45,0.68,35.0,1.13,5.0,0.16,1.0,0.0,20.0,79.0,2.54,16.0,0.51,34.0,1.09,89.0,1778.0,57.21,1586.0,51.03,9.27,13.26,251.0,8.08,77.0,2.48,219.0,7.05,,,,,25.0,8.0,0.26,0.16,8.0,0.26,32.0,0.8,85.0,94.0,80.0,2.57,932.33,,4.9,0.16,0.49,0.08,23.0,28.0,76.0,8.0,4.0,,38.0,,,0.1,0.0,6.97,,,,7.3,2797.0,55.94,,769.0,2.51,0.08,0.0,,,,0.0,,2.44,,68.0,,0.51,2.19,,2.51,100.0,73.0,6.0,6.0
2027-2028,Bart Verbruggen,Benfica,GK,GK,25,Int,Full Contract,NED,58000000.0,63000000.0,5096000.0,7/1/2027,6/30/2032,65000000.0,,,44.0,0.0,44.0,0.0,0.0,7.05,0.0,0.0,3.0,Star Player,,Perfectionist,14,,Low,6.0,0.0,Below Average,12,17,10,14,12,12,13,16,14,17,14,9,12,14,11,6,3,13,12,3,13,6,16,15,14,3,3,1,11,2,14,12,17,3,13,14,15,12,13,11,1,14,14,14,16,12,,,,,,,0.0,,1.12,,,,,,,173.8,4.0,0.0,,0.0,2.71,0.06,85.0,,,,,,,0.02,5.0,0.11,0.0,0.0,,0.0,0.0,3.0,0.0,,,,,,0.0,0.0,95.0,1013.0,23.15,967.0,22.1,1.65,5.3,0.0,0.0,0.0,0.0,8.0,0.18,76.0,43.0,24.0,9.0,0.0,,,,,,,,100.0,2.0,2.0,0.05,,0.53,0.0,0.0,0.0,0.0,0.0,0.0,77.0,7.0,3.0,,34.0,28.0,0.64,,0.0,7.32,1.0,,,6.7,3938.0,89.5,31.0,,0.0,0.0,0.0,2.0,2.0,100.0,0.0,,2.48,23.0,104.0,28.0,0.64,2.38,1.0,0.0,135.0,114.0,,
2027-2028,Martin Baturina,Benfica,"M (C), AM (RLC)",MC,25,Wnt,Full Contract,CRO,48000000.0,57000000.0,3536000.0,7/13/2026,6/30/2031,27500000.0,,,42.0,17.0,25.0,4.0,8.0,6.99,1.0,0.0,2.0,Squad Player,,Ambitious,16,,Increased,7.0,0.0,Below Average,14,1,11,16,15,15,11,3,1,15,11,13,14,14,17,1,12,16,15,14,2,8,7,2,12,14,6,11,14,14,4,12,16,11,12,3,1,2,14,12,11,12,15,3,15,13,84.0,3.26,0.31,3.0,0.12,0.7,18.0,5.0,0.19,8.0,22.0,98.0,3.8,20.0,0.78,216.4,8.4,88.0,3.41,0.1,,,,20.0,0.0,2.6,17.0,0.66,20.0,14.86,38.0,1.47,0.04,43.0,1.67,0.0,0.0,0.0,8.0,20.0,76.0,2.95,17.0,0.66,36.0,1.4,84.0,1211.0,46.98,1012.0,39.26,13.54,5.66,330.0,12.8,83.0,3.22,123.0,4.77,,,,,53.0,1.0,0.04,1.47,22.0,0.85,42.0,2.06,72.0,58.0,42.0,1.63,580.0,,6.06,0.24,-1.08,0.2,61.0,19.0,79.0,8.0,1.0,,33.0,,,0.16,0.0,7.19,,,,7.9,2320.0,55.24,,451.0,5.08,0.2,0.0,,,,0.0,,2.55,,51.0,,0.43,1.98,,5.08,225.0,195.0,34.0,29.0
