Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,Alberto Freitas,FC Porto,GK,,19,Int,Full Contract,POR,36000000.0,43000000.0,423000.0,6/12/2026,6/30/2031,0.0,9.0,0.0,9.0,0.0,0.0,6.56,0.0,0.0,0.0,Breakthrough Prospect,Trained at club (15-21),,12-15,A broken upper arm,,,,9-13,11.0,7-11,15.0,9-12,17-20,14-17,12.0,11-14,11-14,10.0,1-4,1-5,13-16,1.0,2.0,2-5,4-7,1-4,3-6,13.0,1-3,8-12,12.0,5-9,1-4,2-5,1-4,11-15,1-3,16.0,5-9,13-17,1-3,10.0,13.0,14.0,15.0,9-12,7-10,1-3,14-18,4-7,12.0,10-14,11-14,,,,,,,0.0,,5.1,,,,,,,34.7,4.0,0.0,,0.0,-4.9,-0.57,80.0,,,,,,,0.0,3.0,0.35,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,84.0,153.0,17.72,129.0,14.94,5.79,4.05,0.0,0.0,0.0,0.0,4.0,0.46,56.0,9.0,4.0,4.0,0.0,,,,,,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,1.0,,7.0,14.0,1.62,,,,,,,,777.0,86.33,20.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.35,0.0,27.0,14.0,1.62,3.13,1.0,0.0,53,46,,
2027-2028,Américo Jorge Torcato,FC Porto,"AM (C), ST (C)",S15,19,Loa,Full Contract,POR,59000000.0,83000000.0,822000.0,2/5/2027,6/30/2031,0.0,17.0,10.0,7.0,1.0,1.0,6.79,0.0,0.0,0.0,Breakthrough Prospect,Trained at club (15-21),Spirited,15.0,,,,,10.0,2.0,8.0,13.0,13.0,16.0,9.0,2.0,1.0,14.0,11.0,15.0,10.0,16.0,16.0,2.0,12.0,13.0,16.0,15.0,1.0,7.0,10.0,3.0,10.0,9.0,6.0,7.0,10.0,13.0,1.0,10.0,12.0,6.0,7.0,2.0,2.0,2.0,12.0,9.0,7.0,9.0,17.0,1.0,15.0,11.0,36.0,4.56,0.13,1.0,0.13,0.38,3.0,0.0,0.0,4.0,22.0,49.0,6.2,11.0,1.39,66.9,8.5,11.0,1.39,0.07,,,,12.0,1.0,3.42,9.0,1.14,25.0,13.92,7.0,0.89,0.0,19.0,2.41,1.0,0.13,0.0,1.0,22.0,9.0,1.14,2.0,0.25,7.0,0.89,83.0,266.0,33.67,220.0,27.85,14.05,3.29,87.0,11.01,20.0,2.53,10.0,1.27,,,,,23.0,0.0,0.0,2.15,11.0,1.39,48.0,2.91,78.0,9.0,7.0,0.89,711.0,,1.4,0.18,-0.6,0.2,10.0,2.0,71.0,2.0,3.0,4.0,12.0,,,0.13,,,,,,,711.0,41.82,,678.0,1.6,0.2,0.0,,,,0.0,,2.24,,16.0,,1.27,2.03,,1.6,46,38,6.0,6.0
2027-2028,Paulo Miguéis,FC Porto,"DM, M/AM (C)",S10,20,Loa,Full Contract,POR,12500000.0,19500000.0,188000.0,5/16/2026,6/30/2030,6500.0,15.0,2.0,13.0,3.0,4.0,7.29,0.0,0.0,2.0,Breakthrough Prospect,Trained at club (15-21),,13-16,,,,,9-13,1-5,11.0,10-13,9-12,12-15,11-14,1-3,2-5,10-13,9-13,5-9,6-10,11-14,5-8,1-3,11-14,13.0,15.0,9-12,1-4,10.0,11.0,1-2,4-8,10.0,4-7,6-10,11-15,9-12,1-4,10-14,16.0,2-5,10-13,1-4,1-4,1-5,15.0,13.0,12.0,15.0,14-17,1-3,14.0,13.0,55.0,4.26,0.31,4.0,0.31,0.62,8.0,8.0,0.62,11.0,18.0,12.0,0.93,3.0,0.23,111.9,8.7,16.0,1.24,0.15,,,,0.0,0.0,2.17,27.0,2.09,49.0,14.78,14.0,1.08,0.08,28.0,2.17,0.0,0.0,1.0,0.0,25.0,11.0,0.85,2.0,0.15,27.0,2.09,90.0,831.0,64.31,752.0,58.19,7.74,8.9,116.0,8.98,46.0,3.56,87.0,6.73,,,,,27.0,4.0,0.31,1.08,12.0,0.93,44.0,2.09,81.0,26.0,21.0,1.63,387.67,,3.05,0.24,-1.08,0.32,14.0,4.0,67.0,3.0,2.0,4.0,10.0,,,0.23,,,,,,,1163.0,77.53,,478.0,4.08,0.32,0.0,,,,0.0,,2.2,,40.0,,1.24,3.1,,4.08,91,91,5.0,5.0
2027-2028,Martim Cunha,FC Porto,D (LC),S8,21,,Full Contract,POR,600000.0,6000000.0,165000.0,5/29/2025,6/30/2029,21500.0,6.0,6.0,,0.0,0.0,6.72,0.0,0.0,0.0,Breakthrough Prospect,Trained at club (15-21),,15.0,,,,,15.0,1-3,12-15,15-18,13.0,10-12,7-9,1-2,1-3,9-11,13-15,4-6,8-11,13.0,7-10,1-2,1-2,9.0,7-9,1.0,1-4,10.0,12.0,1-3,12-15,3-5,7-9,11.0,12-15,5-8,3-5,16.0,10.0,1-3,11.0,2-4,1.0,3-5,13-15,11.0,13.0,8-10,9-11,1-3,10-12,9-11,8.0,6.26,,0.0,,,0.0,0.0,0.0,,,2.0,1.57,0.0,0.0,11.9,9.3,2.0,1.57,0.0,,,,0.0,0.0,3.13,4.0,3.13,50.0,10.17,5.0,3.91,0.0,1.0,0.78,0.0,0.0,0.0,0.0,0.0,2.0,1.57,0.0,0.0,1.0,0.78,90.0,88.0,68.87,79.0,61.83,8.61,14.87,12.0,9.39,5.0,3.91,11.0,8.61,,,,,0.0,0.0,0.0,0.0,,,,,80.0,5.0,4.0,3.13,,,0.0,0.0,0.0,0.0,1.0,1.0,67.0,1.0,1.0,8.0,4.0,,,,,,,,,,115.0,19.17,,,0.0,0.0,0.0,,,,0.0,,1.9,,1.0,,0.78,0.78,,0.0,93,93,1.0,1.0
2027-2028,Rodrigo Mora,West Brom,"M (LC), AM (RLC)",,21,,Full Contract,POR,17500000.0,21000000.0,1499000.0,2/28/2026,6/30/2030,18750.0,13.0,1.0,12.0,3.0,0.0,6.83,1.0,0.0,0.0,,Trained at club (15-21),,14-16,,,,,13.0,2-5,9-11,13-15,13-15,10-13,7-10,1.0,1-3,13-15,11-13,9-11,11-13,12-14,13.0,1-3,11.0,13.0,15-17,8-11,1-3,6.0,7.0,3-5,10-12,11.0,7-9,6-8,12-14,15.0,1-2,13.0,13.0,9-11,7-10,1-3,1-3,2-5,11-13,12.0,6-9,10-13,15.0,2-4,15-18,11.0,45.0,4.54,,1.0,0.1,0.3,3.0,5.0,0.5,17.0,20.0,10.0,1.01,2.0,0.2,79.8,8.0,16.0,1.61,0.14,,,,1.0,0.0,3.02,15.0,1.51,33.0,11.79,10.0,1.01,0.1,15.0,1.51,0.0,0.0,0.0,2.0,20.0,10.0,1.01,2.0,0.2,15.0,1.51,85.0,304.0,30.64,257.0,25.9,22.68,10.18,111.0,11.19,32.0,3.23,24.0,2.42,,,,,18.0,0.0,0.0,0.6,8.0,0.81,44.0,1.81,71.0,24.0,17.0,1.71,297.67,,2.11,0.21,0.43,0.26,7.0,8.0,23.0,6.0,4.0,4.0,3.0,,,0.3,,,,,,,893.0,68.69,,170.0,2.57,0.26,0.0,,,,0.0,,1.15,,13.0,,1.51,1.31,,2.57,114,114,14.0,14.0
2027-2028,Aimar,FC Porto,M/AM (C),,21,Loa,Full Contract,ESP,8400000.0,13000000.0,214000.0,7/1/2026,6/30/2030,0.0,,,,,,,,,,Breakthrough Prospect,,,12-15,,,,,9-13,2-5,4-8,12-16,11-15,9-12,5-8,1-5,1-2,9-12,9-12,5-8,5-9,14-18,13-17,1-3,11-14,16.0,12.0,2-5,1-4,9-12,9-12,1-4,3-7,11.0,1-2,11-14,9-13,12-16,1-3,12-15,13.0,6-10,8-11,1-5,1-2,3-6,10.0,12.0,9.0,12.0,10-14,1-3,16.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,9.0,9.0
2027-2028,Leonel Pérez,FC Porto,"DM, M/AM (C)",,23,Loa,Full Contract,ARG,1500.0,14000.0,172000.0,5/25/2027,6/30/2029,425000.0,,,,,,,,,,Scouting Required,,,8-11,,,,,10-14,1-3,7-11,9-12,9-12,12-15,4-7,1-2,1-4,8-11,8-12,6-10,7-11,13-16,9-12,1-5,15-18,12.0,13.0,9-12,3-7,4-8,11-15,1-2,5-9,9-12,5-8,5-9,9-13,9-12,1-3,8-12,13.0,4-7,11-14,1-3,2-5,1-5,11-14,10.0,7.0,8-12,11-14,2-5,15.0,6-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,3.0,3.0
2027-2028,Gil Martins,FC Porto,M/AM (C),,22,Loa,Full Contract,POR,4800000.0,7400000.0,332000.0,1/13/2026,6/30/2030,45000.0,,,,,,,,,,Breakthrough Prospect,Trained at club (15-21),,12-15,,,,,14.0,2-6,7-10,14-17,13-16,10-14,7-11,1-2,3-6,14-17,10-14,5-9,7-10,11-14,11-14,1-3,9.0,12.0,13-17,7-11,1-4,9.0,8.0,1-3,10-13,12.0,5-8,8-12,12-15,14-17,1-5,14.0,13.0,8-11,8-12,1.0,1-4,1-4,10-13,13.0,7-11,11-15,14.0,2-5,14-18,10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94,2.0,2.0
2027-2028,Martim Fernandes,Plymouth,D/WB (R),,22,Int,Full Contract,POR,11000000.0,13500000.0,203000.0,6/24/2025,6/30/2030,39000.0,20.0,0.0,20.0,0.0,0.0,6.9,1.0,0.0,0.0,,Trained at club (15-21),,13.0,,,2.0,1.0,14.0,1-2,10-12,14-16,14.0,13-15,10-12,1-2,1-4,11-14,13-16,4-7,9-11,15.0,12-14,1-3,7-9,11.0,11-14,1-2,1.0,9.0,11.0,3-5,11-13,8-10,13-16,13.0,13-15,12-14,1-3,15.0,12.0,6-8,14.0,2-4,2-4,1-3,13-15,13.0,13.0,10-12,11-13,1-2,12-14,11-13,83.0,4.22,,21.0,1.07,0.2,4.0,24.0,1.22,,25.0,27.0,1.37,7.0,0.36,159.9,8.1,37.0,1.88,0.11,,,,0.0,1.0,1.22,59.0,3.0,71.0,15.21,53.0,2.7,0.2,20.0,1.02,5.0,0.25,0.0,1.0,26.0,27.0,1.37,7.0,0.36,20.0,1.02,87.0,931.0,47.37,813.0,41.36,14.09,11.6,179.0,9.11,42.0,2.14,141.0,7.17,,,,,11.0,16.0,0.81,0.15,3.0,0.15,27.0,0.56,83.0,65.0,54.0,2.75,,,1.95,0.1,-1.26,0.06,23.0,17.0,15.0,6.0,11.0,,3.0,,,,0.0,7.1,,,,,1769.0,88.45,,,1.26,0.06,0.0,,,,0.0,,0.75,,20.0,,1.73,1.02,,1.26,158,158,3.0,3.0
2027-2028,Gonçalo Ribeiro,FC Porto,GK,S1,22,,Full Contract,POR,120000.0,1200000.0,193000.0,6/8/2026,6/30/2031,0.0,1.0,1.0,,0.0,0.0,7.0,0.0,0.0,0.0,Breakthrough Prospect,Trained at club (15-21),,10-12,,,,,11-14,14.0,7-10,16.0,10-13,7-9,7-9,12.0,11-13,10-12,12.0,2-4,1-4,8-10,2-5,8.0,1-2,8-10,1-3,1-3,10.0,2-4,13-15,14.0,4-7,2-4,1-3,1-3,11-14,1-3,13.0,15-17,9-12,2-5,12.0,9.0,14.0,7.0,9-11,10-12,3-5,8-10,8-10,14.0,11-13,10-12,,,,,,,0.0,,,,,,,,,1.6,,0.0,,0.0,0.62,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,75.0,8.0,,6.0,,,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,100.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,33.0,33.0,33.0,,0.0,,0.0,0.0,0.0,,0.0,,,1.0,1.0,0.0,,,,0.0,38,38,,
