Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,Pol Rivera,R. Madrid,"M (L), AM (RL), ST (C)",S11,21,,Full Contract,ESP,22000.0,70000.0,206000.0,7/21/2025,6/30/2028,0.0,4.0,4.0,,1,0,6.83,0,0,0,Youngster,Trained at club (15-21),,14-17,,Low,,,13.0,1-4,7-11,14-17,10-13,13-16,9-12,1-4,2-5,11-14,6-10,2-6,11-15,11-14,10-13,1-2,9.0,11,13-17,5-8,2-6,7.0,6.0,1.0,10-14,11.0,6-9,1-2,14-18,10-13,1-2,13.0,10,2-5,4-7,1-2,3-6,1-5,9-12,10,1-3,6-10,13.0,2-5,8-12,6-9,9.0,9.64,,0.0,,,0,1.0,1.07,20.0,,0.0,0.0,0.0,0.0,6.2,0.0,1,1.07,0.06,,,,0.0,0.0,7.5,2.0,2.14,22.0,7.5,1,1.07,0.0,0,,0,0.0,0,0,,0.0,0.0,0.0,0.0,0,0.0,85.0,26,27.86,22,23.57,37.5,1.07,5,5.36,1,1.07,1,1.07,,,,,5,0.0,0.0,1.07,2.0,2.14,40.0,5.36,100.0,1,1,1.07,84.0,,0.0,0.0,0.71,0.31,2,0,100.0,0,0,4.0,4,,,1.07,,,,,,,84,21.0,,25.0,0.29,0.31,0,,,,0,,2.1,,3,,0.0,3.21,,0.29,124,124,29.0,29.0
2027-2028,Endrick,R. Madrid,"AM (R), ST (C)",S3,21,Wnt,Full Contract,BRA,105000000.0,125000000.0,11102000.0,2/1/2025,6/30/2030,77000000.0,47.0,10.0,37.0,17,6,7.05,5,0,1,Fringe Player,Trained at club (15-21),Resolute,15.0,,Increased,,,16.0,2-4,12.0,16.0,15.0,16.0,12.0,1-4,1-3,18.0,13.0,7-9,12.0,16.0,15.0,2-4,16.0,15,18.0,12-14,2-4,12.0,5.0,1-3,10.0,13.0,4-7,6-8,19.0,15.0,1-2,16.0,12,12.0,9-11,1-4,1-2,1-3,14.0,16,7-9,10.0,16.0,1-4,14.0,12.0,218.0,6.28,0.17,3.0,0.09,0.32,11,12.0,0.35,19.0,12.0,35.0,1.01,6.0,0.17,253.6,7.3,51,1.47,0.14,,,,5.0,3.0,4.76,53.0,1.53,24.0,6.66,34,0.98,0.03,38,1.1,1,0.03,0,31,17.0,32.0,0.92,4.0,0.12,36,1.04,85.0,776,22.36,658,18.96,14.29,2.8,248,7.15,48,1.38,40,1.15,,,,,91,0.0,0.0,0.84,48.0,1.38,53.0,2.62,76.0,54,41,1.18,183.71,,4.85,0.14,4.54,0.36,86,59,79.0,4,6,,37,,,0.49,,,,,,6.9,3123,66.45,,134.0,12.46,0.36,0,,,,0,,2.45,,95,,0.75,2.74,,12.46,233,186,88.0,72.0
2027-2028,Álvaro Rodríguez,R. Madrid,"AM (L), ST (C)",S14,23,,Full Contract,URU,25000000.0,35000000.0,3571000.0,1/2/2027,6/30/2031,0.0,13.0,8.0,5.0,3,0,7.03,2,0,0,Fringe Player,Trained at club (15-21),Balanced,9.0,,High,2.0,2.0,13.0,1.0,14.0,10.0,13.0,13.0,12.0,1.0,3.0,15.0,13.0,6.0,11.0,12.0,12.0,3.0,15.0,13,10.0,7.0,2.0,16.0,15.0,1.0,9.0,11.0,11.0,7.0,15.0,14.0,1.0,14.0,12,11.0,8.0,1.0,2.0,1.0,15.0,15,6.0,13.0,14.0,3.0,10.0,12.0,57.0,9.1,,0.0,,,0,1.0,0.16,11.0,,3.0,0.48,0.0,0.0,49.1,7.8,2,0.32,0.11,,,,0.0,1.0,3.99,32.0,5.11,56.0,6.7,7,1.12,0.0,4,0.64,0,0.0,0,3,0.0,3.0,0.48,0.0,0.0,4,0.64,83.0,135,21.54,112,17.87,21.86,0.8,44,7.02,9,1.44,6,0.96,,,,,28,0.0,0.0,1.28,9.0,1.44,32.0,4.47,78.0,9,7,1.12,188.0,,0.33,0.05,-0.02,0.48,10,7,77.0,1,2,8.0,10,,,0.48,0.0,6.5,,,,,564,43.38,,28.0,3.02,0.48,0,,,,0,,2.38,,11,,0.8,1.76,,3.02,141,121,31.0,24.0
2027-2028,Assan Ouédraogo,R. Madrid,M/AM (LC),AMC,22,,Full Contract,GER,69000000.0,82000000.0,8171000.0,8/7/2025,6/30/2030,27000000.0,45.0,34.0,11.0,8,4,7.09,0,0,0,Fringe Player,,Resolute,16.0,,Very High,,,15.0,1.0,10.0,16.0,13.0,14.0,11.0,2.0,1.0,14.0,12.0,7.0,10.0,13.0,16.0,1.0,12.0,15,16.0,9.0,2.0,11.0,14.0,2.0,13.0,15.0,7.0,11.0,14.0,13.0,2.0,15.0,15,14.0,12.0,1.0,1.0,2.0,15.0,13,10.0,12.0,17.0,1.0,15.0,13.0,65.0,3.56,0.22,4.0,0.22,0.71,13,7.0,0.38,14.0,5.0,17.0,0.93,1.0,0.05,153.3,8.4,29,1.59,0.13,,,,1.0,0.0,2.08,27.0,1.48,42.0,14.55,20,1.09,0.0,30,1.64,0,0.0,0,4,6.0,17.0,0.93,1.0,0.05,30,1.64,88.0,656,35.89,578,31.62,14.5,9.74,188,10.29,47,2.57,58,3.17,,,,,59,0.0,0.0,0.98,17.0,0.93,29.0,3.23,87.0,45,39,2.13,205.62,,6.46,0.35,0.18,0.43,19,11,82.0,4,4,,37,,,0.44,,,,,,7.3,1645,36.56,,41.0,7.03,0.38,1,,,,1,100.0,2.56,,44,,0.71,2.41,,7.82,136,112,20.0,17.0
2027-2028,Arda Güler,R. Madrid,"M (C), AM (RC)",,23,,Full Contract,TUR,66000000.0,77000000.0,7740000.0,4/11/2026,6/30/2030,21500000.0,50.0,2.0,48.0,8,11,6.92,2,0,1,Squad Player,Trained at club (15-21),Very Ambitious,16.0,,Normal,6.0,4.0,15.0,2.0,14.0,16.0,15.0,15.0,10.0,1.0,2.0,16.0,12.0,15.0,15.0,15.0,16.0,1.0,12.0,16,16.0,15.0,1.0,12.0,5.0,3.0,14.0,15.0,8.0,10.0,15.0,13.0,2.0,11.0,16,16.0,9.0,2.0,1.0,2.0,13.0,9,8.0,15.0,18.0,3.0,17.0,13.0,132.0,3.23,0.27,9.0,0.22,0.61,25,15.0,0.37,8.0,26.0,257.0,6.29,45.0,1.1,342.7,8.4,65,1.59,0.13,,,,12.0,1.0,2.52,29.0,0.71,22.0,14.23,63,1.54,0.05,83,2.03,1,0.02,0,5,18.0,34.0,0.83,9.0,0.22,61,1.49,84.0,1422,34.82,1190,29.14,16.6,8.99,411,10.07,108,2.64,106,2.6,,,,,100,0.0,0.0,0.88,37.0,0.91,37.0,2.45,81.0,83,67,1.64,459.38,,11.68,0.29,-4.81,0.31,24,29,80.0,4,6,1.0,40,,,0.2,2.0,7.38,,,,,3675,73.5,,250.0,10.44,0.26,3,,,,2,67.0,2.48,,94,,0.78,2.3,,12.81,264,178,37.0,24.0
2027-2028,Rafa Marín,R. Madrid,D (C),S4,26,,Full Contract,ESP,17500000.0,25000000.0,5561000.0,2/4/2028,6/30/2031,0.0,12.0,5.0,7.0,1,0,7.32,1,0,1,Squad Player,Trained at club (15-21),Fairly Determined,15.0,,Normal,,,12.0,2.0,12.0,13.0,15.0,13.0,15.0,3.0,1.0,14.0,14.0,7.0,7.0,13.0,10.0,2.0,9.0,12,5.0,8.0,2.0,15.0,16.0,1.0,15.0,7.0,14.0,13.0,14.0,7.0,1.0,13.0,12,10.0,13.0,1.0,1.0,1.0,15.0,16,14.0,13.0,12.0,1.0,10.0,14.0,58.0,7.18,,2.0,0.25,0.37,3,10.0,1.24,50.0,,0.0,0.0,0.0,0.0,56.0,6.9,0,,0.17,,,,0.0,0.0,1.98,42.0,5.2,72.0,5.08,12,1.49,0.99,2,0.25,3,0.37,0,1,,0.0,0.0,0.0,0.0,2,0.25,96.0,529,65.49,506,62.64,3.59,14.86,33,4.09,16,1.98,43,5.32,,,,,2,1.0,0.12,0.0,1.0,0.12,50.0,0.25,53.0,17,9,1.11,727.0,,0.92,0.11,0.67,0.04,3,6,83.0,1,1,5.0,10,,,0.12,,,,,,,727,60.58,,492.0,0.33,0.04,0,,,,0,,2.58,,23,,0.5,2.85,,0.33,152,125,7.0,4.0
2027-2028,Ferland Mendy,R. Madrid,"D (RL), WB (L)",S5,32,Lst,Full Contract,FRA,1700000.0,1700000.0,11111000.0,1/29/2024,6/30/2028,58000000.0,13.0,10.0,3.0,0,3,7.04,1,0,0,Squad Player,,Fairly Determined,15.0,,Increased,,,13.0,1.0,14.0,14.0,14.0,15.0,17.0,2-4,1-3,14.0,12.0,4-6,13-15,11.0,12.0,2-4,6-9,13,12-14,4-7,2-4,9.0,11.0,1-2,6.0,11-13,12-14,13.0,15.0,11-14,1-3,14.0,12,5-8,14.0,1-3,1-3,1-2,13.0,12,13.0,15.0,13.0,1-3,9-11,17.0,25.0,4.56,0.55,0.0,,0.18,1,2.0,0.37,,14.0,14.0,2.56,2.0,0.37,44.6,8.1,12,2.19,0.12,,,,0.0,0.0,1.64,16.0,2.92,64.0,16.98,8,1.46,0.55,5,0.91,0,0.0,0,0,14.0,14.0,2.56,2.0,0.37,5,0.91,88.0,314,57.32,277,50.57,20.08,8.4,48,8.76,19,3.47,29,5.29,,,,,2,2.0,0.37,0.0,0.0,0.0,0.0,0.37,86.0,28,24,4.38,,,0.76,0.14,-0.23,0.04,6,6,62.0,3,2,13.0,8,,,,,,,,,,493,37.92,,,0.23,0.04,0,,,,0,,2.08,,13,,0.73,2.37,,0.23,352,281,13.0,12.0
2027-2028,João Mário,R. Madrid,"D (RL), WB/M/AM (R)",S9,28,Wnt,Full Contract,POR,33000000.0,40000000.0,6455000.0,1/28/2027,6/30/2031,98000000.0,25.0,16.0,9.0,0,1,6.74,2,0,0,Squad Player,,Fairly Loyal,13.0,,Normal,5.0,2.0,14.0,2.0,11.0,16.0,12.0,12.0,12.0,3.0,3.0,12.0,12.0,10.0,15.0,13.0,16.0,1.0,9.0,14,15.0,7.0,1.0,6.0,7.0,2.0,11.0,9.0,10.0,8.0,14.0,13.0,1.0,15.0,12,7.0,12.0,3.0,4.0,4.0,13.0,8,12.0,11.0,14.0,2.0,13.0,12.0,53.0,4.26,0.08,7.0,0.56,0.24,3,11.0,0.88,,6.0,33.0,2.65,2.0,0.16,101.0,8.1,43,3.46,0.04,,,,0.0,0.0,2.57,21.0,1.69,40.0,18.5,29,2.33,0.0,3,0.24,0,0.0,0,0,6.0,33.0,2.65,2.0,0.16,3,0.24,88.0,569,45.76,498,40.05,17.53,9.25,115,9.25,24,1.93,79,6.35,,,,,2,1.0,0.08,0.16,2.0,0.16,100.0,0.16,75.0,40,30,2.41,,,2.6,0.21,-0.08,0.01,13,12,76.0,4,2,,19,,,,2.0,7.32,,,,,1119,44.76,,,0.08,0.01,0,,,,0,,2.44,,24,,0.64,1.93,,0.08,244,229,19.0,19.0
2027-2028,Federico Valverde,R. Madrid,"DM, M (RC), AM (R)",MCR,29,Inj,Full Contract,URU,218000000.0,261000000.0,21522000.0,9/5/2026,6/30/2030,5000000.0,51.0,0.0,51.0,5,14,7.26,5,0,6,Regular Starter,Trained at club (15-21),Perfectionist,15.0,A twisted knee,High,5.0,0.0,16.0,3.0,12.0,17.0,15.0,16.0,15.0,3.0,1.0,12.0,14.0,14.0,12.0,13.0,12.0,3.0,14.0,14,14.0,14.0,3.0,12.0,13.0,2.0,14.0,17.0,11.0,13.0,17.0,14.0,1.0,16.0,16,11.0,13.0,1.0,2.0,3.0,17.0,14,13.0,17.0,13.0,2.0,15.0,17.0,169.0,3.64,0.3,20.0,0.43,0.34,16,26.0,0.56,8.0,17.0,242.0,5.21,42.0,0.9,373.7,8.0,80,1.72,0.09,,,,5.0,1.0,1.85,83.0,1.79,49.0,12.86,84,1.81,0.22,83,1.79,6,0.13,0,5,17.0,45.0,0.97,8.0,0.17,58,1.25,92.0,2389,51.45,2189,47.14,7.39,11.61,454,9.78,133,2.86,226,4.87,,,,,61,5.0,0.11,0.88,31.0,0.67,51.0,1.31,75.0,142,106,2.28,835.8,,8.45,0.18,-0.45,0.12,33,53,78.0,5,6,,40,,,0.11,0.0,7.16,,,,6.7,4179,81.94,,1729.0,5.45,0.12,0,,,,0,,2.45,,108,,0.73,2.33,,5.45,445,350,33.0,25.0
2027-2028,Andriy Lunin,R. Madrid,GK,S1,29,Wnt,Full Contract,UKR,16000000.0,19000000.0,5718000.0,3/12/2026,6/30/2030,9500000.0,10.0,0.0,10.0,0,0,6.99,0,0,0,Backup,,Spirited,15.0,,Increased,2.0,1.0,13.0,16.0,5.0,15.0,13.0,12.0,12.0,15.0,16.0,13.0,13.0,4.0,1.0,14.0,3.0,12.0,2.0,12,1.0,3.0,13.0,9.0,17.0,12.0,9.0,3.0,1.0,2.0,14.0,3.0,16.0,11.0,12,3.0,13.0,14.0,16.0,13.0,14.0,12,1.0,13.0,10.0,12.0,12.0,14.0,,,,,,,0,,0.87,,,,,,,44.7,4.3,0,,0.0,0.44,0.04,87.0,,,,,,,0.0,0,,0.0,0,,0,0.0,0,0,,,,,,0,0.0,92.0,324,31.35,297,28.74,6.97,3.39,0,0.0,0,0.0,0,0.0,75.0,8.0,13.0,3.0,0,,,,,,,,50.0,2,1,0.1,,0.39,0.0,0.0,0.0,0.0,4,0,80.0,1,1,8.0,8,9.0,0.87,,0.0,7.0,1.0,,,,930,93.0,10.0,,0.0,0.0,0,2.0,1.0,50.0,0,,2.5,4.0,22,9.0,0.87,2.13,2.0,0.0,164,137,,
