pos,team,pld,won,drn,lst,gd,pts,outcome
1,Paris SG,8,6,2,0,16,20,Top 8 - direct to Round of 16
2,R. Madrid,8,6,1,1,19,19,Top 8 - direct to Round of 16
3,Juventus,8,6,1,1,9,19,Top 8 - direct to Round of 16
4,FC Bayern,8,5,3,0,9,18,Top 8 - direct to Round of 16
5,Real San Sebastian,8,5,2,1,7,17,Top 8 - direct to Round of 16
6,Barcelona,8,5,2,1,6,17,Top 8 - direct to Round of 16
7,Benfica,8,5,1,2,6,16,Top 8 - direct to Round of 16
8,AS Roma,8,5,1,2,5,16,Top 8 - direct to Round of 16
9,AS Monaco,8,5,1,2,5,16,Playoff round
10,Blu-neri,8,4,3,1,12,15,Playoff round
11,Liverpool,8,4,3,1,9,15,Playoff round - eventual CL winner
12,Parthenope,8,4,2,2,8,14,Playoff round - eliminated Benfica in R16
13,A. Madrid,8,4,2,2,7,14,Playoff round
14,Bayer 04,8,4,2,2,5,14,Playoff round
15,Man City,8,4,2,2,4,14,Playoff round
16,Chelsea,8,4,2,2,1,14,Playoff round
17,Man UFC,8,3,4,1,3,13,Playoff round
18,FC RB Salzburg,8,4,1,3,1,13,Playoff round
19,Ajax,8,3,3,2,5,12,Playoff round
20,RB Leipzig,8,3,2,3,2,11,Playoff round
21,OM,8,3,1,4,-3,10,Playoff round
22,Shakhtar,8,3,1,4,-5,10,Playoff round
23,Newcastle,8,3,0,5,-7,9,Playoff round
24,Celtic,8,2,2,4,-3,8,Playoff round
25,Borussia Dortmund,8,1,4,3,-6,7,Eliminated
26,Fenerbahce,8,2,1,5,-7,7,Eliminated
27,Feyenoord,8,1,3,4,-3,6,Eliminated
28,RC Lens,8,1,3,4,-4,6,Eliminated
29,Galatasaray,8,1,2,5,-11,5,Eliminated
