pos,qualification,team,pld,won,drn,lst,goals_for,goals_against,gd,pts
1,CL,Benfica,34,24,7,3,70,22,48,79
2,UCL_QR,Sporting CP,34,23,8,3,68,25,43,77
3,UEL,FC Porto,34,21,8,5,80,34,46,71
4,UEL,Famalicao,34,18,5,11,52,41,11,59
5,UECL,Rio Ave,34,17,7,10,51,41,10,58
6,,VTSC,34,17,6,11,54,50,4,57
7,,BVT,34,13,10,11,47,42,5,49
8,,BRG,34,14,7,13,55,50,5,49
9,,Chaves,34,13,9,12,42,42,0,48
10,,VIZ,34,12,8,14,45,56,-11,44
11,,Gil Vicente,34,12,8,14,47,50,-3,44
12,,Farense,34,12,5,17,32,44,-12,41
13,,Estrela da Amadora SAD,34,9,10,15,39,55,-16,37
14,,PTM,34,7,14,13,34,45,-11,35
15,,Moreirense,34,7,12,15,32,46,-14,33
16,,Estoril Praia,34,6,11,17,39,54,-15,29
17,R,Casa Pia,34,4,9,21,37,75,-38,21
18,R,Arouca,34,2,6,26,22,74,-52,12
