pos,qualification,team,pld,won,drn,lst,gd,pts
1,C,Benfica,34,29,2,3,61,89
2,UCL,FC Porto,34,27,6,1,55,87
3,UEL,BRG,34,23,3,8,50,72
4,UEL,VTSC,34,20,8,6,17,68
5,UECL,Sporting CP,34,20,8,6,33,68
6,,Famalicao,34,13,11,10,5,50
7,,BVT,34,14,8,12,-5,50
8,,Rio Ave,34,11,8,15,-16,41
9,,VIZ,34,10,9,15,-17,39
10,,Estrela da Amadora SAD,34,10,8,16,-8,38
11,,Gil Vicente,34,9,9,16,-16,36
12,,Chaves,34,7,14,13,-15,35
13,,PTM,34,6,17,11,-8,35
14,,Feirense,34,7,9,18,-22,30
15,,Farense,34,8,6,20,-26,30
16,R,Arouca,34,8,5,21,-16,29
17,R,Estoril Praia,34,4,13,17,-33,25
18,R,Santa Clara,34,3,10,21,-39,19
